,TCGA.3C.AAAU.01,TCGA.3C.AALI.01,TCGA.A1.A0SB.01
mrna_C1orf210,0.4969197329653197,-0.9478631748597185,-0.609503504546447
mrna_GPBP1L1,0.6704212827235451,-0.6897083885878075,0.1690689927847422
mrna_DEF8,2.1188639359828505,0.9906247581624649,0.3071907810772024
mrna_ACSL5,-1.5661665806405043,-0.14219492846912135,0.5097037971697205
mrna_TTN,-0.15461162982328186,-0.015213118819843609,1.756507094050565
mrna_LOC100507424,0.9242933537013729,-1.4658728664167824,0.0029648694923672886
mrna_APPL1,0.774592050786358,-1.159353903764567,1.445278563020775
mrna_DEXI,-1.4122406463048924,-0.3698588170916596,-0.16858044580444012
mrna_MCPH1,1.7223814693215147,0.767733061679577,0.8537910033114101
mrna_WDR86.AS1,-0.7798561052455216,0.25296169717162514,-0.22324791639818453
mrna_DAZAP2,-1.2902212836060123,-0.5171982391239703,-0.49139802700736257
mrna_HDLBP,-0.6732087545166997,0.49226343083815627,1.475497528344475
mrna_CCL3,-1.3135940682149876,-0.4149790346587803,-1.3893999791876424
mrna_MPIG6B,0.7425899748161117,0.8854688141165473,-0.08637397014517892
mrna_HSF1,-0.47986533549522803,0.770423759682218,-1.1787363558679878
mrna_CSF3R,-0.926011474098211,1.0263879186603568,-1.615795854648408
mrna_TCN2,-0.2920130159718825,-0.5899394526211135,1.3126137179875454
mrna_USB1,0.49660996542978864,0.6008443389871487,-0.2139145605300066
mrna_LBX2,0.6328184349833784,3.7446064032451254,-0.9435039802424048
mrna_CEP170,0.3819844267706868,0.09226555320454348,1.3112645691563065
mrna_SPATA6L,-0.1324556324030534,-1.2148864728363702,-0.5829840318203371
mrna_C14orf39,-0.7431648928407503,-0.647480871664225,4.128342146840497
mrna_GOT1,-0.8006917339101238,-0.12771369676045352,1.6469439582725525
mrna_ALG8,-0.29467852790003274,0.41767699214296844,-0.9159988980087292
mrna_SIPA1L3,1.0763957080880973,0.8956604203770265,0.7432549601042225
mrna_CHAF1B,1.590396219286579,-0.47885970688472496,0.438039817911049
mrna_DOHH,0.12370755698581196,1.541634344581534,-1.0521211739614444
mrna_MAGIX,3.0222226860620762,2.215817639728691,-0.8821302039020369
mrna_CDKAL1,-0.2553767775151269,0.21365483979656674,0.6773050703588012
mrna_WHAMM,1.0962661128340243,0.36992035846527443,0.11787971078456655
mrna_GFER,0.2970721221405571,0.5533743732820396,-1.2774367666536932
mrna_TBC1D15,3.2209205744830367,-0.4637502175252913,0.32245489727361626
mrna_RND3,-0.3181107110639953,-1.075503475979634,2.107532244842776
mrna_KRT14,0.05921593426526559,-0.5852998646474907,1.3505132897997836
mrna_SYT7,3.1112283830869965,0.2596542193581447,0.7890935312976393
mrna_ANKLE2,-0.737464540605033,1.0056131136131776,-0.016384758443887197
mrna_NEDD4L,0.13857877058928783,-1.1601626618425762,0.8947434680186308
mrna_SESN2,0.721242233299646,0.4953674307813092,-0.4681843423709255
mrna_STX6,-0.9355147437885032,-0.5448115817507644,0.17999016538348925
mrna_ZNF574,1.0372023151484553,2.6143973939444907,0.7142640780848141
mrna_RAP2B,-0.2227263228283474,-0.15600783354031883,-0.5078340189761821
mrna_SLC38A4,-0.5851314921855592,0.29057551559058836,-0.39992072294609027
mrna_MAP1B,-0.18687333980278129,-0.9389845238092827,1.7752230688745159
mrna_BCL2L13,0.7108916457753363,1.3187206273152408,-0.01856334461577838
mrna_NOP58,-1.234265745361782,-0.5330493371961993,-0.43590002300803044
mrna_LYPD3,1.7161926365226017,1.626324289296175,-0.8609770038524694
mrna_LRRTM2,-0.5379225658554364,0.0007820289737779187,-0.3912789290747706
mrna_MEIOC,-0.052119841494144385,5.808076031643516,0.23294642711446403
mrna_SERPINH1,-1.1322024916541205,0.44116177856122235,-0.4669025899465712
mrna_HLA.F,-1.1132457044934607,0.10573425815031917,-1.5852362917753615
mrna_IL18,-1.389963611999927,0.08991980522486494,-1.3679590255567995
mrna_LINC00607,-0.36625548045801815,-0.2130177239485844,0.41581152898046253
mrna_SAE1,0.5460013680794407,1.2378198592498946,-0.9582187183495983
mrna_KRTCAP2,-1.483866203356198,0.27245708863791235,-1.8050513382970865
mrna_VAMP5,-1.728863640881267,2.2896162324411473,-2.015927525146204
mrna_TSPAN4,-0.9539032968880794,-0.3700431856909498,-0.38304521055382124
mrna_RAD17,0.6732445160751797,1.3653495716089146,0.7644871825169303
mrna_CADM4,0.7391561257393919,-0.275109933754807,0.580695986050933
mrna_GPATCH8,1.5108811499408858,0.37357532063107085,1.4812402443712367
mrna_TMEM38B,-0.08313579248209746,0.29856068270218966,-0.26199826140965016
mrna_DPYD,-1.0899868145458256,-0.07291433748287687,-1.6930512838131972
mrna_CALHM1,1.2866445010248566,-0.4058613128977437,-0.650225858432324
mrna_SLC25A39,1.0509922796855387,-0.2746289818374267,-1.6351233822620295
mrna_HSF2BP,0.9517142665981331,1.6326598230840466,-0.3880221642648279
mrna_SLC9A7P1,3.49488256488351,-0.9046335728593949,1.667019760122112
mrna_CDYL2,0.04950114715787318,0.4092147883640694,-0.4160949129296171
mrna_SPINT1,0.4682558481787165,-1.748177561182331,-1.2161907119389548
mrna_TFAP4,0.6762770466359719,-0.23298285423857945,0.6932872878021821
mrna_SNHG16,-0.1302953920426845,-0.7644037680111557,0.46256743879879764
mrna_ARHGAP30,-1.1155376783785538,1.1447765728013728,-1.1960237184649964
mrna_SEC24C,0.5095233403933956,-0.013203123297043644,0.4514763368845218
mrna_JDP2,-1.404627966470944,-0.876994972197369,0.1028290339155476
mrna_CDK14,-0.17320534025943277,0.04346574143660313,1.0094869949807996
mrna_TRAF1,0.07523788189192268,0.6723368160288357,-1.1931989864196684
mrna_EMG1,0.37119905279387194,-0.6253460337510542,-0.754683599632946
mrna_DZIP1L,2.6836323286934034,-0.26475594760457183,0.2147435211685921
