Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),5/321,0.0012106305497506,0.0167962188990659,0,0,6.90365682137834,46.36919764075786,CDC20;PTTG1;UBE2C;KIF14;UFD1
GO_Biological_Process_2021,anaphase-promoting complex-dependent catabolic process (GO:0031145),3/84,0.0012148566191106,0.0167962188990659,0,0,15.657210401891254,105.10887662312086,CDC20;PTTG1;UBE2C
GO_Biological_Process_2021,regulation of cytokinesis (GO:0032465),3/84,0.0012148566191106,0.0167962188990659,0,0,15.657210401891254,105.10887662312086,KIF14;KIF20B;CDC25B
GO_Biological_Process_2021,regulation of ubiquitin protein ligase activity (GO:1904666),2/21,0.0012477930702112,0.0167962188990659,0,0,43.708333333333336,292.25047477799524,CDC20;UBE2C
GO_Biological_Process_2021,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)",3/85,0.0012570974643791,0.0167962188990659,0,0,15.465490399584846,103.29323424451243,KIF4A;KIF11;KIF15
GO_Biological_Process_2021,modification-dependent protein catabolic process (GO:0019941),4/201,0.0015886471428271,0.0206524128567531,0,0,8.719046568086515,56.19314326541343,CDC20;PTTG1;UBE2C;UFD1
GO_Biological_Process_2021,regulation of cell cycle phase transition (GO:1901987),3/95,0.0017310874850999,0.0219119231666604,0,0,13.777520814061054,87.61133013502065,CDC20;UBE2C;GTSE1
GO_Biological_Process_2021,mitotic cell cycle phase transition (GO:0044772),4/209,0.0018322367223594,0.0219400706622721,0,0,8.375397667020149,52.78358030788479,CCNB2;CCNE2;UBE2C;CDC25B
GO_Biological_Process_2021,ubiquitin-dependent protein catabolic process (GO:0006511),5/354,0.0018621488147273,0.0219400706622721,0,0,6.240369309137217,39.22711237773203,CDC20;PTTG1;UBE2C;KIF14;UFD1
GO_Biological_Process_2021,antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886),3/98,0.0018922236540246,0.0219400706622721,0,0,13.340425531914894,83.64450283646559,KIF4A;KIF11;KIF15
GO_Biological_Process_2021,regulation of mitotic metaphase/anaphase transition (GO:0030071),2/26,0.0019157650058532,0.0219400706622721,0,0,34.59375,216.47517339281177,UBE2C;DLGAP5
GO_Biological_Process_2021,microtubule polymerization or depolymerization (GO:0031109),2/27,0.0020657293545543,0.0220803515453475,0,0,33.208333333333336,205.3029465636782,KIF14;MAPT
GO_Biological_Process_2021,mitotic chromosome condensation (GO:0007076),2/27,0.0020657293545543,0.0220803515453475,0,0,33.208333333333336,205.3029465636782,NCAPG2;NUSAP1
GO_Biological_Process_2021,antigen processing and presentation of peptide antigen via MHC class II (GO:0002495),3/100,0.0020046761378758,0.0220803515453475,0,0,13.064049133581928,81.15743654844592,KIF4A;KIF11;KIF15
GO_Biological_Process_2021,antigen processing and presentation of exogenous peptide antigen (GO:0002478),3/103,0.002181029234164,0.0228059796007156,0,0,12.670212765957446,77.64253659479164,KIF4A;KIF11;KIF15
GO_Biological_Process_2021,establishment of mitotic spindle localization (GO:0040001),2/29,0.0023818121959682,0.0238677430470988,0,0,30.74537037037037,185.6987673947897,NUSAP1;NDC80
GO_Biological_Process_2021,protein K11-linked ubiquitination (GO:0070979),2/29,0.0023818121959682,0.0238677430470988,0,0,30.74537037037037,185.6987673947897,UBE2C;UBE2T
GO_Biological_Process_2021,microtubule polymerization (GO:0046785),2/30,0.0025478771667966,0.0250107942291669,0,0,29.64583333333333,177.0595839464994,TPX2;MAPT
GO_Biological_Process_2021,positive regulation of ubiquitin-protein transferase activity (GO:0051443),2/31,0.0027192556482504,0.0261592393361691,0,0,28.62212643678161,169.08226656127547,CDC20;UBE2C
GO_Biological_Process_2021,axonal transport (GO:0098930),2/36,0.0036549257227984,0.0338080629358853,0,0,24.40686274509804,136.96349152286243,KIF4A;MAPT
GO_Biological_Process_2021,positive regulation of mitotic nuclear division (GO:0045840),2/36,0.0036549257227984,0.0338080629358853,0,0,24.40686274509804,136.96349152286243,NUSAP1;DLGAP5
GO_Biological_Process_2021,positive regulation of cellular process (GO:0048522),6/625,0.0044929867292957,0.0407759739017221,0,0,4.258554853869878,23.01850082860992,KIF14;SAA1;TTK;MAPT;KIF20B;CDC25B
GO_Biological_Process_2021,epithelial cell migration (GO:0010631),2/41,0.0047194951697385,0.0420384662341528,0,0,21.272435897435894,113.93630347986566,ANLN;S100A2
GO_Biological_Process_2021,positive regulation of axonogenesis (GO:0050772),2/43,0.0051806911627924,0.045307499078239,0,0,20.23272357723577,106.48111760263689,NGFR;MAPT
GO_Biological_Process_2021,chromosome condensation (GO:0030261),2/45,0.0056617913266769,0.0486307433594932,0,0,19.289728682170544,99.80534454493326,NCAPG2;NUSAP1
GO_Biological_Process_2021,regulation of double-strand break repair via homologous recombination (GO:0010569),2/46,0.0059097422436154,0.0498699301610354,0,0,18.85037878787879,96.72417883948356,POLQ;TIMELESS
