Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Cell cycle,6/124,6.392463415054622e-07,3.068382439226218e-05,0,0,22.918335901386747,326.8836736814432,CDC20;CCNB2;PTTG1;CCNE2;TTK;CDC25B
KEGG_2021_Human,Oocyte meiosis,4/129,0.00030233842173203154,0.0072561221215687,0,0,13.791304347826086,111.76422796561604,CDC20;CCNB2;PTTG1;CCNE2
KEGG_2021_Human,p53 signaling pathway,3/73,0.0008084332971786784,0.0129349327548588,0,0,18.127659574468087,129.07641173230985,CCNB2;CCNE2;GTSE1
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,4/219,0.0021717796001183,0.0260613552014207,0,0,7.981799797775531,48.94605941026051,CDC20;CCNB2;PTTG1;CCNE2
