model,cancer_type,fold,precision,recall,f1,nmi,ari,accuracy
RandomForest,GS-COAD,0,0.8966588966588968,0.719047619047619,0.7401687401687402,0.5136421654724951,0.623155850917499,0.8653846153846154
RandomForest,GS-COAD,1,0.6885964912280702,0.5833333333333334,0.5919987546699875,0.7195477659308427,0.7937651132428903,0.9038461538461539
RandomForest,GS-COAD,2,0.6620813397129186,0.5793650793650793,0.5897260273972603,0.6308196247703464,0.7637769007845282,0.8846153846153846
RandomForest,GS-COAD,3,0.6909722222222222,0.5793650793650793,0.6055555555555555,0.6528162405378625,0.6889969067609368,0.8846153846153846
RandomForest,GS-COAD,4,0.5563063063063063,0.5140756302521008,0.5142125480153649,0.4629148523065055,0.6401310834741192,0.8269230769230769
RandomForest,GS-COAD,mean+/-std,0.6989+/-0.1104,0.5950+/-0.0672,0.6083+/-0.0733,0.5959+/-0.0940,0.7020+/-0.0670,0.8731+/-0.0261
