model,cancer_type,fold,precision,recall,f1,nmi,ari,accuracy
IntermediateFusion,GS-COAD,0,0.7158730158730159,0.7904761904761904,0.7427350427350428,0.4428061096724874,0.49145216467016123,0.8076923076923077
IntermediateFusion,GS-COAD,1,0.6035714285714285,0.6202380952380953,0.6082706766917293,0.5945317250017073,0.6530667497844322,0.8653846153846154
IntermediateFusion,GS-COAD,2,0.6315359477124183,0.6722222222222222,0.648852657004831,0.6907018492396355,0.7871705381352748,0.9038461538461539
IntermediateFusion,GS-COAD,3,0.8301158301158301,0.7873015873015873,0.8050595238095237,0.594133219366167,0.6384162303664922,0.8461538461538461
IntermediateFusion,GS-COAD,4,0.5179843304843305,0.5947478991596639,0.5403458753798251,0.4194246226235541,0.4677904876580373,0.7692307692307693
IntermediateFusion,GS-COAD,mean+/-std,0.6598+/-0.1060,0.6930+/-0.0822,0.6691+/-0.0944,0.5483+/-0.1022,0.6076+/-0.1169,0.8385+/-0.0465
