model,cancer_type,fold,precision,recall,f1,nmi,ari,accuracy
RandomForest,GS-BRCA,0,0.9245486782720824,0.6407407407407407,0.7064623842003461,0.6354023650176533,0.5687623961461225,0.8148148148148148
RandomForest,GS-BRCA,1,0.9003391921060746,0.6066498316498317,0.6704428904428905,0.5633927454072932,0.5445634035683045,0.7985074626865671
RandomForest,GS-BRCA,2,0.6987755102040817,0.49067516990052207,0.5129405512144724,0.47889045699815463,0.39703518867537774,0.753731343283582
RandomForest,GS-BRCA,3,0.8917493796526055,0.5712087912087912,0.6223228062021953,0.5577016952532253,0.5020350194700586,0.7835820895522388
RandomForest,GS-BRCA,4,0.5851570415400202,0.49242766894940804,0.4994513374534132,0.5031373472884131,0.47352356467121764,0.7611940298507462
RandomForest,GS-BRCA,mean+/-std,0.8001+/-0.1345,0.5603+/-0.0603,0.6023+/-0.0830,0.5477+/-0.0543,0.4972+/-0.0600,0.7824+/-0.0227
