model,cancer_type,fold,precision,recall,f1,nmi,ari,accuracy
PathwayAwareFusion,GS-COAD,0,0.696588213829593,0.7809523809523808,0.7256944444444445,0.4251489179800471,0.45367383777705445,0.7884615384615384
PathwayAwareFusion,GS-COAD,1,0.9201298701298701,0.9095238095238095,0.9127705627705627,0.7854100845008525,0.8627376036583285,0.9423076923076923
PathwayAwareFusion,GS-COAD,2,0.6007733585858586,0.6579365079365079,0.6202321724709784,0.6239158748043937,0.6811432009901238,0.8653846153846154
PathwayAwareFusion,GS-COAD,3,0.8535714285714285,0.8436507936507935,0.8471988795518207,0.6206007419366683,0.6514790516046669,0.8653846153846154
PathwayAwareFusion,GS-COAD,4,0.5610014985014985,0.6378151260504201,0.5820276497695852,0.5162045417335575,0.5356982425586908,0.8076923076923077
PathwayAwareFusion,GS-COAD,mean+/-std,0.7264+/-0.1398,0.7660+/-0.1048,0.7376+/-0.1271,0.5943+/-0.1207,0.6369+/-0.1393,0.8538+/-0.0538
