model,cancer_type,fold,precision,recall,f1,nmi,ari,accuracy
PathwayAwareFusion,GS-BRCA,0,0.8133883637331912,0.889149713093375,0.8428157920890479,0.6704811117981554,0.5866182564760994,0.837037037037037
PathwayAwareFusion,GS-BRCA,1,0.706939726939727,0.7060629771897378,0.7038201014671602,0.541688869785171,0.5103042828562955,0.7761194029850746
PathwayAwareFusion,GS-BRCA,2,0.7483583387692976,0.7766353364944915,0.7528244825001441,0.5993570312653284,0.6436206512640417,0.8283582089552238
PathwayAwareFusion,GS-BRCA,3,0.8796687370600415,0.8614652014652014,0.8691422619480174,0.7186203805562981,0.6628919875039727,0.8731343283582089
PathwayAwareFusion,GS-BRCA,4,0.8065603502188867,0.899411795933535,0.8344733050307852,0.6839098052897933,0.5798773356683877,0.8283582089552238
PathwayAwareFusion,GS-BRCA,mean+/-std,0.7910+/-0.0591,0.8265+/-0.0741,0.8006+/-0.0621,0.6428+/-0.0637,0.5967+/-0.0537,0.8286+/-0.0310
