model,cancer_type,fold,precision,recall,f1,nmi,ari,accuracy
IntermediateFusion,GS-BRCA,0,0.8401058201058202,0.8570552947313512,0.8479998145830436,0.667530474632435,0.650139516489311,0.8592592592592593
IntermediateFusion,GS-BRCA,1,0.7186624486624487,0.7955256793284963,0.7225718236654507,0.565828560932641,0.4496933929690612,0.746268656716418
IntermediateFusion,GS-BRCA,2,0.7807568438003221,0.8024148386824443,0.7844965097795287,0.6603979662003233,0.6824696936903247,0.8507462686567164
IntermediateFusion,GS-BRCA,3,0.8273120629370629,0.9224175824175823,0.8606157116299901,0.7265841163923012,0.6772254938821913,0.8731343283582089
IntermediateFusion,GS-BRCA,4,0.7915607580824972,0.873257949779689,0.8254272619490012,0.6221167005676929,0.6046817244693784,0.835820895522388
IntermediateFusion,GS-BRCA,mean+/-std,0.7917+/-0.0426,0.8501+/-0.0470,0.8082+/-0.0500,0.6485+/-0.0532,0.6128+/-0.0861,0.8330+/-0.0450
