model,cancer_type,fold,precision,recall,f1,nmi,ari,accuracy
XGBoost,GS-COAD,0,0.8593366093366094,0.7999999999999999,0.8140933140933141,0.6728751258951937,0.7527115263465523,0.9038461538461539
XGBoost,GS-COAD,1,0.7137592137592137,0.625,0.6478174603174602,0.8076914107548568,0.8628973064852963,0.9230769230769231
XGBoost,GS-COAD,2,0.6444444444444445,0.6436507936507937,0.6422706278154758,0.651669029454922,0.7829520808609894,0.9038461538461539
XGBoost,GS-COAD,3,0.6618589743589743,0.6071428571428571,0.6228501228501229,0.7652882965743955,0.7669141212414009,0.9038461538461539
XGBoost,GS-COAD,4,0.4674707602339181,0.4460084033613445,0.45188729399255717,0.4010552505065954,0.5175686577586148,0.7692307692307693
XGBoost,GS-COAD,mean+/-std,0.6694+/-0.1261,0.6244+/-0.1125,0.6358+/-0.1149,0.6597+/-0.1416,0.7366+/-0.1160,0.8808+/-0.0563
